,Latitude,Longitude,Park Name,Address,City,State,Zip Code,Phone Number,Distance
0,42.34032,-72.02761,Pine Acres Family Camping Resort,203 Bechan Rd,Oakham,MA,01068, (508) 882-9509,33.659059636424146
1,42.06793,-72.22015,Oak Haven Family Campground,22 Main St,Wales,MA,01081, (413) 245-7148,18.960687189020554
2,42.4891,-73.23767,Bonnie Brae Cabins & Campsites,108 Broadway,Pittsfield,MA,01201, (413) 442-3754,40.09102132645673
3,42.551120000000004,-73.22955999999999,Mt Greylock Campsite Park,15 Scott Rd,Lanesborough,MA,01237, (413) 447-9491,42.541417868059646
4,42.5515,-71.53355,Boston Minuteman Campground,264 Ayer Rd,Littleton,MA,01460, (978) 772-0042,11.392950852739798
5,42.07047,-72.093,Sturbridge RV Resort,19 Mashapaug Rd,Sturbridge,MA,01566, (888) 563-7040,25.359378028920844
6,42.08978,-72.08310999999999,Pine Lake RV Resort & Cottages,30 River Rd,Sturbridge,MA,01566, (508) 347-9570,26.157686480794005
7,42.10096,-71.47234,Circle Cg Farm,131 N Main St,Bellingham,MA,02019, (508) 966-1136,17.80203207826065
8,42.041592,-71.28039100000001,Normandy Farms Family Campground Inc,72 West St,Foxboro,MA,02035, (866) 673-2767,12.847274337095946
9,41.792809999999996,-70.60384,Sandy Pond Campground,834 Bourne Rd,Plymouth,MA,02360, (508) 759-9336,33.65319958231779
10,41.60614,-70.57675,Cape Cod Campresort & Cabins,176 Thomas B Landers Rd,East Falmouth,MA,02536, (508) 548-1458,44.513996881835595
11,41.690909999999995,-70.48066,Peters Pond RV Resort,185 Cotuit Rd,Sandwich,MA,02563, (888) 326-7731,43.131700731726646
12,41.4353,-70.61029,Martha's Vineyard Family Campground,569 Edgartown Rd,Vineyard Haven,MA,02568, (508) 693-3772,53.87162774724316
13,41.75742,-70.08859,Shady Knoll Campground,1709 Main St,Brewster,MA,02631, (508) 896-3002,56.78311746696355
14,41.65146,-70.14147,Campers Haven Carefree RV Resort,184 Old Wharf Rd,Dennis Port,MA,02639, (508) 398-2811,58.292876775430024
15,41.84536,-69.98421,Atlantic Oaks,3700 State Hwy,Eastham,MA,02642, (508) 255-1437,59.23869018860463
16,41.70755,-70.1471,Old Chathan Road RV Camprgound,310 Old Chatham Rd,South Dennis,MA,02660, (888) 563-7040,55.8914104639888
17,41.77602,-70.80269,Gateway To Cape Cod RV Campground,90 Stevens Rd,Rochester,MA,02770, (888) 563-7040,28.3932223837096
18,41.412,-71.75055,Ashaway RV Resort,235 Ashaway Rd,Ashaway,RI,02808, (401) 377.8100,24.29168697539293
19,41.50074,-71.27195,Meadowlark,132 Prospect Ave,Middletown,RI,02842, (401) 846-9455,45.204905492764894
20,42.741609999999994,-71.68649,Field & Stream RV Park,7 Dupaw-Gould Rd,Brookline,NH,03033, (603) 673-4677,12.689676382369935
21,42.972002,-71.722838,Friendly Beaver Campground,98 Cochran Hill Rd,New Boston,NH,03070, (603) 487-5570,23.42297761522521
22,43.018390000000004,-71.16458,Pine Acres Resort,74 Freetown Rd,Raymond,NH,03077, (888) 563-7047,25.9926875632923
23,43.20527,-71.75078,Sandy Beach RV Resort,677 Clement Hill Rd,Contoocook,NH,03229, (888) 563-7040,38.06312604801476
24,42.797916,-72.513489,Hinsdale Campground At Thicket Hill Village,29 Pine St,Hinsdale,NH,03451, (603) 336-8906,46.3101716553779
25,42.867540000000005,-70.98739,Tuxbury Pond RV Resort,88 Whitehall Rd,South Hampton,NH,03827, (888) 563-7040,21.44457474998896
26,42.95924,-70.95898000000001,Green Gate Campground,185 Court St,Exeter,NH,03833, (603) 772-2100,27.784291426878273
27,43.27518,-70.5972,Moody Beach RV Campground,266 Post Rd,Wells,ME,04090, (888) 563-7040,53.19853918567174
28,42.78629,-73.19923,Pine Hollow Campground,342 Pine Hollow Rd,Pownal,VT,05261, (802) 823-5569,53.99469144095619
29,44.555295,-73.18529699999999,Lone Pine Campsites,52 Sunset View Rd,Colchester,VT,05446, (802) 878-5447,3.5864325889298567
30,44.635090000000005,-73.2676,Apple Island Resort,71 US Rt 2,South Hero,VT,05486, (802) 372-3800,10.159293422155118
31,44.09887,-72.54796,Limehurst Lake Campground,4104 Vt Route 14,Williamstown,VT,05679, (802) 433-6662,41.793269682063354
32,44.42216,-72.11483,Sugar Ridge RV Village & Campground,24 Old Stagecoach Rd,Danville,VT,05828, (802) 684-2550,52.69034886024014
33,41.64792,-72.90947,Bear Creek Campground At Lake Compounce,186 Enterprise Dr,Bristol,CT,06010, (860) 583-3300,8.07568471343638
34,41.84879,-71.79542,Stateline Campresort & Cabins,1639 Hartford Pike,East Killingly,CT,06243, (860) 774-3016,40.09565751240876
35,41.553540000000005,-72.01463000000001,Hidden Acres Family Campground,47 River Rd,Preston,CT,06365, (860) 887-9633,16.886601697435527
36,41.39985,-71.95905,Seaport RV Resort & Campground,45 Campground Rd,Old Mystic,CT,06372, (888) 203-2956,13.475867998219055
37,41.581379999999996,-71.85369,Natures Campsites,96 Ekonk Hill Rd,Voluntown,CT,06384, (860) 376-4203,24.12106126599455
38,41.30742,-72.58233,Riverdale Farm Campsite,111 River Rd,Clinton,CT,06413, (860) 669-5388,19.558552825793075
39,41.49943,-72.31784,Salem Farms Campground,39 Alexander Rd,Salem,CT,06420, (860) 859-2320,11.096879005301028
40,41.49975,-72.29711,Witch Meadow Lake Family Campground,139 Witch Meadow Rd,Salem,CT,06420, (860) 859-1542,10.628643397256164
41,41.62941,-73.04841,Gentile's Campground,223 Mount Tobe Rd,Plymouth,CT,06782, (860) 283-8437,7.488189277309221
42,41.65469,-73.09328000000001,Branch Brook Campground,435 Watertown Rd,Thomaston,CT,06787, (860) 283-8144,10.277211188279566
43,41.277590000000004,-74.63981,Pleasant Acres Farm RV Resort,61 Dewitt Rd,Sussex,NJ,07461, (800) 722-4166,25.84722509801027
44,40.91205,-75.0191,Triplebrook RV & Camping Resort,58 Honey Run Rd,Blairstown,NJ,07825, (888) 343-2267,23.585176776195727
45,39.76128,-74.31589,Long Beach Carefree RV Resort,30 Rt 72,Barnegat,NJ,08005, (609) 698-5684,4.05256847196261
46,39.461209999999994,-74.50665,Shady Pines Camping Resort,443 S 6th Ave,Galloway,NJ,08025, (609) 652-1516,20.5790321631567
