-114.00362,51.2233,"Balzac Campground RV Park & Storage-Calgary,AB","262195 Balzac Blvd, Balzac,AB T4B 2T3, (403) 226-0097"
-118.79278,55.13704,"Bear Paw Campground-Grand Prairei,AB","6325 - 100th St, Grande Prairie,AB T8V 4B5, (780) 814-5246"
-114.45591,51.17531,"Bow Riversedge Campround-Cochrane,AB","900 Griffin Rd E, Cochrane,AB T4C 2B8, (877) 932-4675"
-114.008212,53.539096,"Camp 'N Class-Stony Plain,AB","4107 50 St, Stony Plain,AB T7Z 1L5, (855) 455-2299"
-118.812253,55.094846,"Camp Tamarack RV Park-Grande Prairie,AB","Rr 2 Stn Main Site 8 Box 19, Grande Prairie,AB T8V 2Z9, (877) 532-9998 (v)"
-112.788995,53.005615,"Camrose Exhibition Trail RV Park-Camrose,AB","4250 Exhibition Dr, Camrose,AB T4V 4Z8, (780) 678-2888"
-118.864119,55.227791,"Country Roads RV Park-Grande Prairie,AB","Box 11 Site 17 Rr 2 Stn Main, Grande Prairie,AB T8V 2Z9, (866) 532-6323 (v)"
-112.873292,49.406606,"Covered Wagon RV Park-Magrath,AB","234 W 5Th Ave South, Magrath,AB T0K 1J0, (403) 758-3572 (v)"
-113.89025,53.52981,"Diamond Grove RV Campground-Spruce Grove,AB","41 Century Close, Spruce Grove,AB T7X 3B3, (780) 962-8003"
-113.770338,53.538723,"Glowing Embers RV Park And Travel Centre-Acheson,AB","26309 Hwy 16A, Acheson,AB T7X 5A6, (780) 962-8100 (v)"
-118.863767,55.055649,"Nitehawk Wilderness RV Park-Grande Prairie,AB","6356 Twp Rd 702A, Grande Prairie,AB T8V 4B5, (888) 754-6778"
-117.1996,56.20773,"Rendez Vous RV Park & Storage-Peace River,AB","950 Woods Rd, Peace River,AB T8S 0A7, (780) 618-1345"
-114.95451,52.40737,"Riverview Campground-Rocky Mountain House,AB","40009 Rge Rd 73A, Rocky Mountain House,AB T4T 2A4, (403) 845-4422"
-117.29478,55.05484,"Sherk's RV Park-Valleyview,AB","22362 Township Rd 702, Valleyview,AB T0H 3N0, (780) 524-4949 (v)"
-113.65109,53.62052,"St Albert RV Park-St Albert,AB","47 Riel Dr, St Albert,AB T8N 3Z2, (888) 459-1724 (v)"
-115.648187,54.113847,"Whitecourt Lions Campground-Whitecourt,AB","3001 33 St, Whitecourt,AB T7S 1P3, (780) 778-6782"
-151.666669,60.045034,"Alaskan Angler RV Resort & Charters-Ninilchik,AK","15640 Kingsley Rd, Ninilchik,AK 99369, (800) 347-4114 (v)"
-149.869168,61.22218,"Anchorage Ship Creek RV Park-Anchorage,AK","150 North Ingra St., Anchorage,AK 99501, (907) 277-0877 (v)"
-149.293596,61.561275,"Big Bear RV Park-Palmer,AK","2010 S Church St, Palmer,AK 99645, (907) 745-7445 (v)"
-148.910988,63.392295,"Cantwell RV Park-Cantwell,AK",".3 Mi Cantwell Station Rd, Cantwell,AK 99729, (800) 940-2210 (v)"
-149.86876,61.20107,"Creekwood Inn Motel & RV Park-Anchorage,AK","2150 Seward Hwy, Anchorage,AK,99503, (907) 258-6006"
-148.89937,63.74765,"Denali Rainbow Village RV Park & Motel-Denali Park,AK","Mile 238.6 Parks Hwy, Denali Park,AK 99755, (907) 683-7777"
-148.987695,63.821474,"Denali RV Park & Motel-Healy,AK","Mile 245.1 Parks Hwy, Healy,AK 99755, (800) 478-1501"
-146.345364,61.131162,"Eagle's Rest RV Park & Cabins-Valdez,AK","139 E Pioneer, Valdez,AK 99686, (800) 553-7275 (v)"
-134.6045,58.40375,"Glacier Nalu Campground Resort-Juneau,AK","10200 Mendenhall Loop Rd, Juneau,AK 99801, (907) 789-1990 "
-149.80057,61.209,"Golden Nugget RV Park-Anchorage,AK","4100 Debarr Rd, Anchorage,AK 99508, (907) 333-2021"
-135.460302,59.235285,"Haines Hitch Up RV Park Inc-Haines,AK","851 Main St, Haines,AK 99827, (907) 766-2882 (v)"
-149.025616,61.594609,"Mountain View RV Park-Palmer,AK","1405 N Smith Rd, Palmer,AK 99645, (907) 745-5747 (v)"
-149.091,64.56032,"Nenana RV Park & Campground-Nenana,AK","210 E 4th St, Nenana,AK 99760, (907) 832-5230"
-145.580388,62.094002,"Northern Nights Campground & RV Park-Glennallen,AK","Mile Post 188.7 Glenn Hwy, Glennallen,AK 99588, (907) 822-3199"
-151.5536,59.64114,"Ocean Shores RV Park & Resort-Homer,AK","455 Sterling Highway, Homer,AK 99603, (907) 435-0800 "
-135.44218,59.2352,"Oceanside RV Park-Haines,AK","14 Front St, Haines,AK 99827, (907) 766-2437 (v)"
-147.834059,64.839558,"River's Edge RV Park & Campground-Fairbanks,AK","4140 Boat St, Fairbanks,AK 99709, (907) 474-0286 (v)"
-147.51591,64.83275,"Riverview RV Park-North Pole,AK","1316 Badger Rd, North Pole,AK 99705, (888) 488-6392 (v)"
-145.55554,62.10956,"Slide Mountain Cabins & RV Park-Glennallen,AK","Mile 135 Glenn Highway, Glennallen,AK 99588, (907) 822-3883"
-142.96417,63.33476,"Tok RV Village-Tok,AK","1313.4 Mile Alaska Hwy, Tok,AK 99780, (907) 883-5877 (v)"
-145.97462,62.11379,"Tolsona Wilderness Campground-Glennallen,AK","Mile 173 Glenn Hwy, Glennallen,AK 99588, (907) 822-3900 "
-143.01744,63.338924,"Tundra Lodge & RV Park-Tok,AK","1315 Mile Alaska Hwy, Tok,AK 99780, (907) 301-7061"
-151.81574,59.83079,"Whiskey Point Cabins and RV Park-Anchor Point,AK","30475 Sterling Hwy, Anchor Point,AK 99556, (907) 235-1961 "
-87.64316,30.39918,"Alabama Coast Campground-Foley,AL","11959 Barin Field Rd, Foley,AL 36535, (251) 752-0474 "
-88.25281,30.58917,"All About Relaxing RV Park-Theodore,AL","8950 Three Notch Rd, Theodore,AL 36582, (251) 375-0661"
-85.51044,32.55367,"Auburn RV Park at Leisure Time Campground-Auburn,AL","2670 S College St, Auburn,AL 36832, (334) 821-2267 (v)"
-87.606638,30.624314,"Azalea Acres RV Park-Robertsdale,AL","27450 Glass Rd, Robertsdale,AL 36567, (251) 947-9530 (v)"
-88.06732,30.22084,"Bay Palms RV Resort-Coden,AL","15440 Dauphin Island Pkwy, Coden,AL 36523, (251) 873-4700"
-86.206148,32.452605,"Capital City RV Park-Montgomery,AL","4655 Old Wetumpka Hwy, Montgomery,AL 36110, (877) 271-8026 (v)"
-86.71937,33.65998,"Carson Village Mobile Home & RV Park-Birmingham,AL","400 North Carson Rd, Birmingham,AL 35215, (205) 854-0059"
-86.904303,34.213756,"Cullman Campground-Cullman,AL","220 Cr-1185, Cullman,AL 35057, (256) 734-5853 (v)"
